"Unnamed: 0","id","initialdat","finaldate","area_ha","longitude","latitude","days_between"
"308","25470737","2022-06-14","2022-06-14","21.4819118319035","39.7548455289002","38.6395833500249","0"
"1501","25470895","2022-06-04","2022-07-08","74687.6396860983","40.3352909613143","37.0835304759633","34"
"1502","25471203","2022-06-16","2022-06-16","21.4734073767185","40.114090722374","36.8937500156163","0"
"349436","25439826","2022-06-12","2022-06-12","21.4938178618312","27.6973621809071","41.0437500182744","0"
"349437","25439828","2022-06-14","2022-06-14","21.4911193327904","38.1798052431753","40.50208335124","0"
"349438","25439829","2022-06-02","2022-06-02","21.4904148866653","39.0727929277409","40.3604166844782","0"
"349439","25439830","2022-06-02","2022-06-04","42.9807882910252","39.0567087218977","40.3562500178088","2"
"349440","25439831","2022-06-02","2022-06-04","64.4710585396051","39.0436819322152","40.3479166844699","2"
"349441","25439832","2022-06-01","2022-06-01","21.4903113494158","39.0279259475695","40.339583351131","0"
"349442","25439833","2022-06-12","2022-06-12","64.4707481487513","30.0627978185029","40.3270833511226","0"
"349443","25439834","2022-06-12","2022-06-12","42.9799190210104","30.1214957595771","40.2687500177503","0"
"349444","25439835","2022-06-10","2022-06-10","42.9746709507108","27.8081915398591","39.7395833507335","0"
"349445","25439836","2022-06-05","2022-06-05","21.4873147746682","27.8038013037145","39.7354166840641","0"
"349446","25439837","2022-06-05","2022-06-11","558.675448673248","27.84579964426","39.7222767416035","6"
"349447","25439838","2022-06-12","2022-06-12","21.4872735023618","27.9142101763709","39.7270833507253","0"
"349448","25439839","2022-06-12","2022-06-14","42.9744232575536","27.8631096338203","39.7145833507171","2"
"349449","25439840","2022-06-11","2022-06-11","21.4869642394185","27.9809614704159","39.6645833506844","0"
"349450","25439841","2022-06-14","2022-06-14","21.4865313577056","28.0591301855281","39.5770833506272","0"
"359762","25470827","2022-06-04","2022-06-04","21.4761120917082","39.4301233635259","37.4520833492873","0"
"359832","25470829","2022-06-03","2022-06-03","21.4760918158889","39.4856585414162","37.4479166826181","0"
"359908","25470821","2022-06-03","2022-06-03","64.4296019746184","39.3913788056821","37.4715278353654","0"
"359922","25470790","2022-06-04","2022-06-04","21.4768412379503","39.3043827489894","37.6020833493789","0"
"359925","25470900","2022-06-03","2022-06-03","21.4751617127776","39.7618877522492","37.2562500158349","0"
"359937","25470824","2022-06-03","2022-06-03","21.4761928895831","39.5071598522418","37.4687500159641","0"
"359968","25470770","2022-06-03","2022-06-03","21.4771046515465","39.4067207431506","37.6562500160788","0"
"359981","25470722","2022-06-03","2022-06-03","42.984769177866","40.8364192783999","40.7562500180784","0"
"359986","25470736","2022-06-02","2022-06-04","42.9638235848308","39.7468438827019","38.6395833500249","2"
"359987","25470738","2022-06-03","2022-06-04","64.4380817750335","40.0575305326941","38.1187500163647","1"
"359988","25470744","2022-06-03","2022-06-03","42.9552439065933","39.0811450822032","37.7625000748241","0"
"359989","25470745","2022-06-03","2022-06-05","64.4332396964073","39.0771005276944","37.7465278460403","2"
"359990","25470747","2022-06-04","2022-06-04","42.9550209083796","39.1428083717491","37.7395833494634","0"
"359991","25470759","2022-06-03","2022-06-03","21.4773075877666","39.1181660950729","37.6979166827711","0"
"359992","25470760","2022-06-07","2022-06-07","21.4773075822473","39.3446022722396","37.6979166827711","0"
"359993","25470762","2022-06-03","2022-06-03","21.4772669200301","39.4770802243931","37.6895833494326","0"
"359994","25470763","2022-06-03","2022-06-05","558.407157227993","39.1767532924771","37.6700329060074","2"
"359995","25470765","2022-06-04","2022-06-04","21.477185706377","39.3418714370833","37.6729166827557","0"
"359996","25470769","2022-06-03","2022-06-03","85.9084800395966","39.2267980854995","37.6593750599251","0"
"359997","25470772","2022-06-04","2022-06-04","21.4770845952511","39.1518996932969","37.6520833494096","0"
"359998","25470774","2022-06-04","2022-06-04","21.4770641966343","39.2339017183636","37.6479166827404","0"
"359999","25470776","2022-06-03","2022-06-03","21.477043934226","39.1632934059064","37.6437500160711","0"
"360000","25470826","2022-06-08","2022-06-08","21.4761324494481","40.4243611097116","37.4562500159565","0"
"360001","25470777","2022-06-03","2022-06-04","64.4310101615071","39.1431160797001","37.635416838497","1"
"360002","25470779","2022-06-03","2022-06-03","21.4770236464977","39.3084278496855","37.6395833494019","0"
"360003","25470781","2022-06-03","2022-06-08","150.339077954674","39.2493297117071","37.6258931412574","5"
"360004","25470782","2022-06-04","2022-06-04","21.4769626645684","39.5490801763839","37.6270833493943","0"
"360005","25470783","2022-06-03","2022-06-07","64.4314112470627","39.2112034799437","37.6215278457289","4"
"360006","25470784","2022-06-02","2022-06-04","64.4307263251781","39.5501832036908","37.6159722901631","2"
"360007","25470785","2022-06-04","2022-06-04","21.4769019691825","39.179487575202","37.6145833493866","0"
"360008","25470787","2022-06-01","2022-06-05","64.4306044469953","39.3634203974725","37.6076389568091","4"
"360009","25470788","2022-06-04","2022-06-04","42.9536621831894","39.2191380201239","37.6000000743813","0"
"360010","25470789","2022-06-03","2022-06-04","85.9073242693901","39.2585805530033","37.6000000743813","1"
"360011","25470791","2022-06-10","2022-06-10","21.4768211000085","39.2232985433669","37.5979166827097","0"
"360012","25470792","2022-06-04","2022-06-04","21.4768008827806","39.3210152701319","37.5937500160405","0"
"360013","25470793","2022-06-14","2022-06-14","21.4768004585505","39.3788596255943","37.5937500160405","0"
"360014","25470796","2022-06-04","2022-06-04","128.860211322296","39.3261943674284","37.5604170860315","0"
"360015","25470797","2022-06-08","2022-06-08","21.4766385401487","39.5084096041536","37.5604166826868","0"
"360016","25470798","2022-06-03","2022-06-04","64.4298547396183","39.3012190994367","37.5562500160175","1"
"360017","25470799","2022-06-02","2022-06-04","64.4298345414042","39.3512930061265","37.5548611788967","2"
"360018","25470800","2022-06-02","2022-06-04","64.4292119843006","39.3873498958501","37.5534722900079","2"
"360019","25470801","2022-06-03","2022-06-04","85.9062094676018","39.3150994830596","37.5427083930027","1"
"360020","25470803","2022-06-04","2022-06-04","21.4765372178674","39.3712539283107","37.5395833493407","0"
"360021","25470804","2022-06-06","2022-06-06","21.476516770947","39.1326032573112","37.5354166826715","0"
"360022","25470805","2022-06-04","2022-06-04","21.4764560067058","39.231117538077","37.5229166826638","0"
"360023","25470806","2022-06-03","2022-06-04","236.240613847768","39.4095583231288","37.5153413076024","1"
"360024","25470807","2022-06-03","2022-06-03","21.476436000526","39.3024728212213","37.5187500159946","0"
"360025","25470809","2022-06-04","2022-06-04","21.4764156309128","39.1794595469355","37.5145833493254","0"
"360026","25470810","2022-06-03","2022-06-03","21.4764156282187","39.2319894920274","37.5145833493254","0"
"360027","25470811","2022-06-03","2022-06-03","21.4764157854199","39.2845194371194","37.5145833493254","0"
"360028","25470812","2022-06-03","2022-06-04","42.9528108359933","39.3096871731796","37.5125000741437","1"
"360029","25470813","2022-06-06","2022-06-06","21.4763750761986","39.1803380003889","37.506250015987","0"
"360030","25470814","2022-06-03","2022-06-03","21.4763750619411","39.3641722828488","37.506250015987","0"
"360031","25470815","2022-06-12","2022-06-12","42.9526493112087","40.4195196293948","37.4958334074319","0"
"360032","25470817","2022-06-04","2022-06-04","21.4762948733091","39.1978505128746","37.4895833493101","0"
"360033","25470818","2022-06-12","2022-06-12","21.4762941316724","40.4318909536944","37.4895833493101","0"
"360034","25471027","2022-06-11","2022-06-11","21.4746973507762","40.8250480041977","37.1604166824435","0"
"360035","25470819","2022-06-03","2022-06-03","64.4286394859791","39.4796120196902","37.4729168374861","0"
"360036","25470820","2022-06-04","2022-06-04","21.4762130460382","39.3676104055372","37.4729166826333","0"
"360037","25470831","2022-06-04","2022-06-04","42.9521632028937","39.5449131041587","37.4458334072964","0"
"360038","25470840","2022-06-04","2022-06-04","21.4760110220432","39.4821124380534","37.4312500159412","0"
"360039","25470841","2022-06-04","2022-06-06","85.903921784389","39.2492733093278","37.4250000739067","2"
"360040","25470843","2022-06-02","2022-06-08","622.807000386345","39.291678190764","37.4131473731478","6"
"360041","25470845","2022-06-13","2022-06-13","21.4759704167247","39.2468694457908","37.4229166826028","0"
"360042","25470848","2022-06-11","2022-06-11","21.4758692683339","39.2936514365744","37.4020833492568","0"
"360043","25470850","2022-06-04","2022-06-04","21.4758489610672","39.5537070795744","37.3979166825876","0"
"360044","25470851","2022-06-02","2022-06-02","21.475828821826","39.6091979404811","37.3937500159184","0"
"360045","25470852","2022-06-02","2022-06-02","21.4758085387111","39.3028314350802","37.3895833492492","0"
"360046","25470857","2022-06-02","2022-06-02","64.4274991551638","39.5773915324804","37.3798611884765","0"
"360047","25470876","2022-06-03","2022-06-03","21.4753840144753","39.4508680671242","37.302083349196","0"
"360048","25470896","2022-06-03","2022-06-04","64.4254852065444","39.3326237412328","37.2562500158349","1"
"360049","25470906","2022-06-11","2022-06-14","64.4254246256351","40.2831524273207","37.2520833491657","3"
"360050","25470912","2022-06-12","2022-06-12","21.4750808716178","39.329158888858","37.2395833491581","0"
"360051","25470916","2022-06-06","2022-06-06","21.4750606656671","39.33745202503","37.2354166824889","0"
"360052","25470917","2022-06-05","2022-06-05","21.475060753572","39.5310907830852","37.2354166824889","0"
"360053","25470919","2022-06-14","2022-06-14","21.4750607838631","40.2847118955163","37.2354166824889","0"
"360054","25470923","2022-06-14","2022-06-14","21.4750406899214","39.9527945764474","37.2312500158197","0"
"360055","25470926","2022-06-11","2022-06-14","193.276211774814","40.3527008940265","37.223379914079","3"
"360056","25470927","2022-06-11","2022-06-11","21.4750405474901","40.7639391385447","37.2312500158197","0"
"360057","25470931","2022-06-14","2022-06-14","21.4750202556968","39.9715185556109","37.2270833491505","0"
"360058","25470933","2022-06-04","2022-06-08","42.9500002761364","39.4905261878214","37.2229166824813","4"
