"Unnamed: 0","id","initialdat","finaldate","area_ha","longitude","latitude","days_between"
"1569","1305377","2002-06-19","2002-06-19","21.4745560511112","36.7432715743306","37.1312500157592","0"
"1925","1621484","2002-08-10","2002-08-10","21.4885324895382","44.1949406810401","39.9812500175593","0"
"285433","1305334","2002-06-08","2002-06-08","21.4860577134967","33.305469054263","39.4812500172315","0"
"285434","1305338","2002-06-03","2002-06-03","21.4759298182487","35.7224544483219","37.4145833492644","0"
"285435","1305342","2002-06-03","2002-06-03","21.4756872838855","35.9240637066061","37.364583349234","0"
"285436","1305343","2002-06-03","2002-06-03","21.475646665597","35.9095910870959","37.3562500158956","0"
"285437","1305345","2002-06-03","2002-06-03","21.4756063832641","35.8741571940382","37.3479166825572","0"
"285438","1305346","2002-06-03","2002-06-03","21.4756064428687","35.9370529331465","37.3479166825572","0"
"285439","1305347","2002-06-03","2002-06-04","214.754180654013","35.8954580842939","37.3387501404346","1"
"285440","1305348","2002-06-12","2002-06-14","42.9508689087749","36.0091762286485","37.3125000736028","2"
"285441","1305349","2002-06-03","2002-06-03","21.4753840309262","35.8784731893838","37.302083349196","0"
"285442","1305350","2002-06-03","2002-06-03","21.4752828702569","36.0727692897849","37.28125001585","0"
"285443","1305352","2002-06-03","2002-06-03","21.4751819075227","35.884791814305","37.2604166825041","0"
"285444","1305353","2002-06-10","2002-06-14","64.4254851199985","35.9246862879196","37.2562500158349","4"
"285445","1305355","2002-06-07","2002-06-07","21.4751212877274","35.8945412598402","37.2479166824965","0"
"285446","1305357","2002-06-12","2002-06-14","858.999305434978","35.8557273195434","37.2158349312456","2"
"285447","1305358","2002-06-12","2002-06-12","107.376801293993","35.9972762040394","37.208750067756","0"
"285448","1305362","2002-06-03","2002-06-07","42.9497176561117","35.9236947802136","37.193750015797","4"
"285449","1305364","2002-06-14","2002-06-14","42.9496369695783","35.8465104041823","37.1854166824586","0"
"285450","1305365","2002-06-14","2002-06-14","21.4747981140494","35.8942153450682","37.1812500157895","0"
"285451","1305367","2002-06-09","2002-06-09","21.4747780806065","35.8922355689134","37.1770833491203","0"
"285452","1305371","2002-06-07","2002-06-10","128.847881389439","35.9316527431213","37.1500000731654","3"
"285453","1305380","2002-06-07","2002-06-07","21.4744552420855","35.8606146022194","37.1104166824133","0"
"285454","1305384","2002-06-10","2002-06-14","42.9486281110406","35.8650930589985","37.0812500157291","4"
"285455","1305389","2002-06-13","2002-06-13","21.4741930280924","35.7305773184152","37.056250015714","0"
"285456","1305393","2002-06-08","2002-06-08","42.9479226033449","35.8280502696547","37.0083334061191","0"
"285457","1305394","2002-06-06","2002-06-06","42.9478622224092","35.8120611522193","37.0020833490147","0"
"285458","1305397","2002-06-03","2002-06-03","42.9477415941358","35.8479071628912","36.9895833490072","0"
"285459","1305398","2002-06-03","2002-06-03","42.9476004624128","35.8488600682817","36.9750000726966","0"
"285460","1305399","2002-06-06","2002-06-06","42.9475802665234","35.7826863882189","36.9729166823305","0"
"285461","1305400","2002-06-06","2002-06-06","21.4737901664972","35.8061555747437","36.9729166823305","0"
"285462","1305401","2002-06-06","2002-06-06","42.9475601577996","35.8156061435873","36.9708334060188","0"
"285463","1305402","2002-06-06","2002-06-06","21.4737498713255","35.7813766708994","36.9645833489922","0"
"285464","1305403","2002-06-05","2002-06-06","42.9474190419197","35.7487825980989","36.9562500156538","1"
"285465","1305404","2002-06-03","2002-06-06","42.9474189467669","35.8217818624472","36.9562500156538","3"
"285466","1305405","2002-06-03","2002-06-03","21.4736894477844","35.7755035904901","36.9520833489847","0"
"285467","1305406","2002-06-03","2002-06-04","42.9473588322282","35.7875598297848","36.9500000726299","1"
"285468","1305407","2002-06-11","2002-06-14","107.367728838766","35.4775798354069","36.9370834004574","3"
"285469","1305410","2002-06-13","2002-06-13","21.4735484970689","35.7305421318909","36.9229166823005","0"
"285470","1305413","2002-06-01","2002-06-04","85.8900517962456","35.4797939198728","36.708333631244","3"
"285471","1305415","2002-06-03","2002-06-08","85.8899915091038","35.5757975122571","36.7052083911907","5"
"285472","1305416","2002-06-05","2002-06-05","21.4724427425861","35.4730626944955","36.6937500154968","0"
"285473","1305418","2002-06-06","2002-06-06","21.4724224991918","35.4503561216606","36.6895833488276","0"
"285474","1305419","2002-06-04","2002-06-08","515.335942806876","35.4596213659748","36.6758685964137","4"
"285475","1305420","2002-06-03","2002-06-05","85.8902066849709","35.1402878594997","36.6677083812866","2"
"285476","1305421","2002-06-08","2002-06-09","64.4169059811115","35.1479515242564","36.6645834991851","1"
"285477","1305423","2002-06-03","2002-06-05","64.4167656695366","35.1504377052061","36.6548611766907","2"
"285478","1305424","2002-06-05","2002-06-05","21.4722017533422","35.174793413505","36.643750015467","0"
"285479","1305426","2002-06-02","2002-06-02","21.4706589830041","36.3016356369183","36.3229166819437","0"
"293923","1332899","2002-06-07","2002-06-07","21.4766183126688","39.3537784028126","37.5562500160175","0"
"293924","1332900","2002-06-10","2002-06-14","107.382746828616","39.3704725442079","37.5420835915145","4"
"293925","1332901","2002-06-05","2002-06-05","21.4765574189544","39.3734542784492","37.5437500160099","0"
"293926","1332902","2002-06-10","2002-06-10","21.4765169013023","39.3427817239494","37.5354166826715","0"
"293933","1332922","2002-06-02","2002-06-02","85.8986685470819","38.3149188422444","37.1541667398433","0"
"293936","1332928","2002-06-01","2002-06-01","21.4745963454008","38.3101447116048","37.1395833490976","0"
"293938","1332930","2002-06-03","2002-06-04","64.4243019354343","38.3421747600051","37.1340278445251","1"
