"Unnamed: 0","id","initialdat","finaldate","area_ha","longitude","latitude","days_between"
"485","7892973","2007-06-02","2007-06-02","21.4765775670648","39.0498238361973","37.5479166826791","0"
"573","7893092","2007-06-20","2007-06-20","21.4744148855805","38.8762882893929","37.102083349075","0"
"425935","7892919","2007-06-01","2007-06-01","42.9589450434685","40.1575229724609","38.1416667425319","0"
"425936","7892920","2007-06-01","2007-06-01","21.479462259531","40.1696206442355","38.139583349711","0"
"425937","7892921","2007-06-06","2007-06-06","21.4794011187077","40.1521478802052","38.1270833497032","0"
"425938","7892922","2007-06-01","2007-06-01","21.4794012281656","40.1680381834359","38.1270833497032","0"
"425939","7892923","2007-06-03","2007-06-03","21.478790590632","40.5965173144742","38.0020833496255","0"
"425942","7892926","2007-06-02","2007-06-02","21.4782617993832","40.1935073301785","37.8937500162251","0"
"425943","7892927","2007-06-04","2007-06-04","21.4782619576335","41.0066173635224","37.8937500162251","0"
"425944","7892928","2007-06-01","2007-06-01","21.4779774317384","41.0005495547188","37.8354166828557","0"
"425965","7892954","2007-06-04","2007-06-04","21.4770236986279","39.3242133103038","37.6395833494019","0"
"425966","7892956","2007-06-01","2007-06-02","42.9538850551486","39.0286902827874","37.622916682725","1"
"425967","7892957","2007-06-02","2007-06-02","21.4769019754767","38.9901257503107","37.6145833493866","0"
"425968","7892958","2007-06-02","2007-06-02","21.4768818089724","39.0300192894851","37.6104166827174","0"
"425969","7892959","2007-06-02","2007-06-02","21.4768411150098","39.0414244112033","37.6020833493789","0"
"425971","7892960","2007-06-01","2007-06-05","279.198584000337","39.0915937376985","37.590545879741","4"
"425972","7892961","2007-06-01","2007-06-01","21.4768207772851","38.9656138039931","37.5979166827097","0"
"425973","7892962","2007-06-04","2007-06-05","171.815304908085","38.9965209019966","37.5916668353418","1"
"425974","7892963","2007-06-02","2007-06-02","21.476780290401","38.9770254601034","37.5895833493713","0"
"425975","7892964","2007-06-01","2007-06-04","42.9534595282674","39.0556926420291","37.5791667409914","3"
"425976","7892965","2007-06-01","2007-06-02","64.4308022161007","39.0753346963138","37.5798611789587","1"
"425977","7892966","2007-06-02","2007-06-03","42.9534594021201","39.3580014842051","37.5791667409914","1"
"425978","7892967","2007-06-02","2007-06-02","21.4766790410042","39.0449731236492","37.5687500160252","0"
"425979","7892968","2007-06-01","2007-06-05","171.812513921523","39.1019253244791","37.5645834658784","4"
"425980","7892969","2007-06-02","2007-06-02","42.9532566228509","39.0526541908695","37.5583334076014","0"
"425981","7892970","2007-06-02","2007-06-03","64.4292729791403","39.3142157137688","37.5576389566849","1"
"425982","7892971","2007-06-01","2007-06-04","128.859446275294","39.0643501615022","37.5472225034741","3"
"425983","7893028","2007-06-06","2007-06-06","42.9500409080744","40.7119741261552","37.2270833491505","0"
"425985","7892972","2007-06-05","2007-06-08","300.670358562243","39.1783919970132","37.5389887889387","3"
"425986","7892974","2007-06-02","2007-06-06","128.85876280756","39.3414144983514","37.5444445704242","4"
"425988","7892976","2007-06-02","2007-06-02","21.476517016089","39.3743084939452","37.5354166826715","0"
"425991","7892980","2007-06-03","2007-06-03","21.4764358787894","39.3550056994157","37.5187500159946","0"
"425992","7892981","2007-06-02","2007-06-02","42.9527909483433","39.3637432386614","37.5104166826562","0"
"425996","7892989","2007-06-02","2007-06-02","21.4754648373961","40.0778492285053","37.3187500158728","0"
"426002","7892999","2007-06-02","2007-06-02","21.4753030832767","39.4368918468848","37.2854166825192","0"
"426003","7893002","2007-06-01","2007-06-01","21.4752828545451","39.4766017697569","37.28125001585","0"
"426004","7893003","2007-06-04","2007-06-04","21.4752828424692","39.4975484311721","37.28125001585","0"
"426013","7893050","2007-06-01","2007-06-01","21.4748588612318","39.702796335051","37.193750015797","0"
"426015","7893061","2007-06-02","2007-06-02","21.4747577709198","39.9689915162456","37.1729166824511","0"
"426016","7893070","2007-06-02","2007-06-02","21.4746165893078","40.272429024939","37.1437500157668","0"
"426017","7893072","2007-06-01","2007-06-01","85.8999310629249","40.2837109791721","37.1281251620583","0"
"426018","7893089","2007-06-02","2007-06-02","42.948849926877","40.000603273117","37.1041667397091","0"
"426019","7893096","2007-06-14","2007-06-14","21.4744150601029","41.3682575850976","37.102083349075","0"
"426020","7893105","2007-06-01","2007-06-01","21.4743744376302","40.2980770728842","37.0937500157366","0"
"426022","7893112","2007-06-14","2007-06-14","21.4743543952584","41.4136674344246","37.0895833490674","0"
